impl,points,dims,time
python_cached,100,30,0.03125762939453125
numpy_brute,100,30,0.08033871650695801
numpy_brute,100,30,0.053769826889038086
numpy_brute,100,30,0.054047346115112305
numpy_brute,100,30,0.06715750694274902
numpy_brute,100,30,0.06017780303955078
numpy_cached,100,30,0.02918839454650879
numpy_cached,100,30,0.030040264129638672
numpy_cached,100,30,0.02935028076171875
numpy_cached,100,30,0.028407812118530273
numpy_cached,100,30,0.028365373611450195
numpy_broadcast,100,30,0.0015149116516113281
numpy_broadcast,100,30,0.0014216899871826172
numpy_broadcast,100,30,0.0015599727630615234
numpy_broadcast,100,30,0.0015416145324707031
numpy_broadcast,100,30,0.0017611980438232422
numpy_double_broadcast,100,30,0.0015032291412353516
numpy_double_broadcast,100,30,0.0014672279357910156
numpy_double_broadcast,100,30,0.001420736312866211
numpy_double_broadcast,100,30,0.0014095306396484375
numpy_double_broadcast,100,30,0.0015857219696044922
scipy,100,30,0.00016188621520996094
scipy,100,30,0.00013136863708496094
scipy,100,30,0.0001266002655029297
scipy,100,30,0.0001251697540283203
scipy,100,30,0.0001251697540283203
cython,100,30,0.00010752677917480469
cython,100,30,0.0001163482666015625
cython,100,30,8.893013000488281e-05
cython,100,30,0.00012159347534179688
cython,100,30,9.584426879882812e-05
cython_parallel,100,30,0.0002219676971435547
cython_parallel,100,30,0.00018715858459472656
cython_parallel,100,30,0.00018644332885742188
cython_parallel,100,30,0.00018644332885742188
cython_parallel,100,30,0.00022649765014648438
python_brute,10000,150,1834.785876750946
python_brute,10000,150,1828.7753336429596
python_brute,10000,150,1831.528338432312
python_brute,10000,150,1833.1672222614288
python_brute,10000,150,1829.4790441989899
python_cached,10000,150,922.084020614624
python_cached,10000,150,933.6319344043732
python_cached,10000,150,939.3274829387665
python_cached,10000,150,938.4927921295166
python_cached,10000,150,926.4810991287231
numpy_brute,10000,150,522.8878021240234
numpy_brute,10000,150,519.4156379699707
numpy_brute,10000,150,521.1891713142395
numpy_brute,10000,150,520.3926014900208
numpy_brute,10000,150,519.0353305339813
numpy_cached,10000,150,279.0264296531677
numpy_cached,10000,150,277.50094842910767
numpy_cached,10000,150,276.58077096939087
numpy_cached,10000,150,277.49316239356995
numpy_cached,10000,150,277.16552782058716
numpy_broadcast,10000,150,46.349404096603394
numpy_broadcast,10000,150,31.25331401824951
numpy_broadcast,10000,150,31.275196075439453
numpy_broadcast,10000,150,31.270779848098755
numpy_broadcast,10000,150,31.21719241142273
numpy_double_broadcast,10000,150,31.21877145767212
numpy_double_broadcast,10000,150,31.22569751739502
numpy_double_broadcast,10000,150,31.060535669326782
numpy_double_broadcast,10000,150,31.07385015487671
numpy_double_broadcast,10000,150,30.89639711380005
scipy,10000,150,9.949068307876587
scipy,10000,150,9.92166543006897
scipy,10000,150,9.903344631195068
scipy,10000,150,9.914387702941895
scipy,10000,150,9.895475625991821
cython,10000,150,4.331791400909424
cython,10000,150,4.333792448043823
cython,10000,150,4.398565292358398
cython,10000,150,4.376796007156372
cython,10000,150,4.385870933532715
cython_parallel,10000,150,9.716585159301758
cython_parallel,10000,150,9.682069063186646
cython_parallel,10000,150,9.756837606430054
cython_parallel,10000,150,9.671001434326172
cython_parallel,10000,150,9.766587972640991
python_brute,20,100,0.00449824333190918
python_brute,20,100,0.004745006561279297
python_brute,20,100,0.004637479782104492
python_brute,20,100,0.00461125373840332
python_brute,20,100,0.004471302032470703
python_cached,20,100,0.0024428367614746094
python_cached,20,100,0.002421855926513672
python_cached,20,100,0.0024302005767822266
python_cached,20,100,0.002624988555908203
python_cached,20,100,0.0024194717407226562
numpy_brute,20,100,0.0019822120666503906
numpy_brute,20,100,0.0019307136535644531
numpy_brute,20,100,0.0019690990447998047
numpy_brute,20,100,0.002067089080810547
numpy_brute,20,100,0.001972198486328125
numpy_cached,20,100,0.0013782978057861328
numpy_cached,20,100,0.0010657310485839844
numpy_cached,20,100,0.001089334487915039
numpy_cached,20,100,0.0011954307556152344
numpy_cached,20,100,0.0010890960693359375
numpy_broadcast,20,100,0.0002994537353515625
numpy_broadcast,20,100,0.00021648406982421875
numpy_broadcast,20,100,0.00021266937255859375
numpy_broadcast,20,100,0.00021147727966308594
numpy_broadcast,20,100,0.0002105236053466797
numpy_double_broadcast,20,100,0.0002117156982421875
numpy_double_broadcast,20,100,0.00021004676818847656
numpy_double_broadcast,20,100,0.00020933151245117188
numpy_double_broadcast,20,100,0.00020956993103027344
numpy_double_broadcast,20,100,0.00020885467529296875
scipy,20,100,6.556510925292969e-05
scipy,20,100,3.647804260253906e-05
scipy,20,100,3.1948089599609375e-05
scipy,20,100,3.075599670410156e-05
scipy,20,100,3.0517578125e-05
cython,20,100,2.6226043701171875e-05
cython,20,100,1.33514404296875e-05
cython,20,100,1.2159347534179688e-05
cython,20,100,1.1920928955078125e-05
cython,20,100,1.1682510375976562e-05
cython_parallel,20,100,2.3603439331054688e-05
cython_parallel,20,100,2.2649765014648438e-05
cython_parallel,20,100,2.193450927734375e-05
cython_parallel,20,100,2.2172927856445312e-05
cython_parallel,20,100,2.193450927734375e-05
python_brute,300,20,0.26377105712890625
python_brute,300,20,0.26359105110168457
python_brute,300,20,0.2638840675354004
python_brute,300,20,0.2616007328033447
python_brute,300,20,0.2672698497772217
python_cached,300,20,0.13348865509033203
python_cached,300,20,0.1349174976348877
python_cached,300,20,0.13126587867736816
python_cached,300,20,0.14332032203674316
python_cached,300,20,0.13349390029907227
numpy_brute,300,20,0.4591972827911377
numpy_brute,300,20,0.4731316566467285
numpy_brute,300,20,0.4583866596221924
numpy_brute,300,20,0.45257997512817383
numpy_brute,300,20,0.4651155471801758
numpy_cached,300,20,0.23842096328735352
numpy_cached,300,20,0.23769426345825195
numpy_cached,300,20,0.2394239902496338
numpy_cached,300,20,0.23404979705810547
numpy_cached,300,20,0.2618536949157715
numpy_broadcast,300,20,0.007224082946777344
numpy_broadcast,300,20,0.007456064224243164
numpy_broadcast,300,20,0.006915092468261719
numpy_broadcast,300,20,0.006913423538208008
numpy_broadcast,300,20,0.00692439079284668
numpy_double_broadcast,300,20,0.0072290897369384766
numpy_double_broadcast,300,20,0.007483005523681641
numpy_double_broadcast,300,20,0.007497549057006836
numpy_double_broadcast,300,20,0.007300376892089844
numpy_double_broadcast,300,20,0.007472515106201172
scipy,300,20,0.0010302066802978516
scipy,300,20,0.0006494522094726562
scipy,300,20,0.0006046295166015625
scipy,300,20,0.0007014274597167969
scipy,300,20,0.0007855892181396484
cython,300,20,0.0006008148193359375
cython,300,20,0.0005176067352294922
cython,300,20,0.0005662441253662109
cython,300,20,0.0005352497100830078
cython,300,20,0.0006453990936279297
cython_parallel,300,20,0.0011839866638183594
cython_parallel,300,20,0.0011878013610839844
cython_parallel,300,20,0.001312255859375
cython_parallel,300,20,0.0011789798736572266
cython_parallel,300,20,0.0011320114135742188
python_brute,600,4,0.3848252296447754
python_brute,600,4,0.3851032257080078
python_brute,600,4,0.3802459239959717
python_brute,600,4,0.40771031379699707
python_brute,600,4,0.39139485359191895
python_cached,600,4,0.19866371154785156
python_cached,600,4,0.19986271858215332
python_cached,600,4,0.20433974266052246
python_cached,600,4,0.19759583473205566
python_cached,600,4,0.19921231269836426
numpy_brute,600,4,1.9322972297668457
numpy_brute,600,4,1.9109792709350586
numpy_brute,600,4,1.9290027618408203
numpy_brute,600,4,1.9346866607666016
numpy_brute,600,4,1.9157507419586182
numpy_cached,600,4,0.9966621398925781
numpy_cached,600,4,1.0301618576049805
numpy_cached,600,4,1.0173397064208984
numpy_cached,600,4,1.0135478973388672
numpy_cached,600,4,1.0065598487854004
numpy_broadcast,600,4,0.016177892684936523
numpy_broadcast,600,4,0.01586174964904785
numpy_broadcast,600,4,0.014549016952514648
numpy_broadcast,600,4,0.014960289001464844
numpy_broadcast,600,4,0.015227794647216797
numpy_double_broadcast,600,4,0.01471090316772461
numpy_double_broadcast,600,4,0.013926506042480469
numpy_double_broadcast,600,4,0.014859199523925781
numpy_double_broadcast,600,4,0.014547586441040039
numpy_double_broadcast,600,4,0.015065670013427734
scipy,600,4,0.0014107227325439453
scipy,600,4,0.0013165473937988281
scipy,600,4,0.0013375282287597656
scipy,600,4,0.0013964176177978516
scipy,600,4,0.0019385814666748047
cython,600,4,0.001322031021118164
cython,600,4,0.0013234615325927734
cython,600,4,0.0012722015380859375
cython,600,4,0.0012466907501220703
cython,600,4,0.0012352466583251953
cython_parallel,600,4,0.0019652843475341797
cython_parallel,600,4,0.0021004676818847656
cython_parallel,600,4,0.002543926239013672
cython_parallel,600,4,0.0020444393157958984
cython_parallel,600,4,0.0023238658905029297
python_brute,500,30,1.1008210182189941
python_brute,500,30,1.0438237190246582
python_brute,500,30,1.0618641376495361
python_brute,500,30,1.0444777011871338
python_brute,500,30,1.0670044422149658
python_cached,500,30,0.5187821388244629
python_cached,500,30,0.5222587585449219
python_cached,500,30,0.5588791370391846
python_cached,500,30,0.5204019546508789
python_cached,500,30,0.5261118412017822
numpy_brute,500,30,1.2836430072784424
numpy_brute,500,30,1.2519934177398682
numpy_brute,500,30,1.259927749633789
numpy_brute,500,30,1.2794828414916992
numpy_brute,500,30,1.2744369506835938
numpy_cached,500,30,0.6873354911804199
numpy_cached,500,30,0.6556024551391602
numpy_cached,500,30,0.7011721134185791
numpy_cached,500,30,0.6883692741394043
numpy_cached,500,30,0.6833622455596924
numpy_broadcast,500,30,0.021375179290771484
numpy_broadcast,500,30,0.023686885833740234
numpy_broadcast,500,30,0.01905679702758789
numpy_broadcast,500,30,0.02336263656616211
numpy_broadcast,500,30,0.019544601440429688
numpy_double_broadcast,500,30,0.023478031158447266
